Effect;Intercept;HODINA;HODINA_STV;PO;UT;STR;STVR;PIA;SO
uvod_STUD;1.34835;0.34182;-0.01563;-0.63353;1.10307;0.11376;-0.49911;0.68682;0
studium_STUD;-2.84924;0.38448;-0.00867;0.95518;3.02822;1.54827;1.22148;1.20767;0
oznamy_STUD;1.51459;-0.38342;0.01248;1.65098;3.04913;1.59056;0.14253;-1.24192;0
