;url;INTERNY;STUD;ZAM;PON;UTO;STR;STV;PIA;SOB;NED;HOD;HOD_STV
96;uvod;1;1;0;0;0;1;0;0;0;0;12;144.0
97;uvod;1;1;0;0;0;1;0;0;0;0;12;144.0
98;uvod;1;1;0;0;0;1;0;0;0;0;12;144.0
99;uvod;1;1;0;0;0;1;0;0;0;0;11;121.0
100;uvod;1;1;0;0;0;1;0;0;0;0;07;49.0
101;uvod;1;1;0;0;0;1;0;0;0;0;13;169.0
102;uvod;1;1;0;0;0;1;0;0;0;0;06;36.0
103;uvod;1;1;0;0;0;1;0;0;0;0;07;49.0
104;uvod;1;1;0;0;0;1;0;0;0;0;07;49.0
105;uvod;1;1;0;0;0;1;0;0;0;0;08;64.0
106;uvod;1;1;0;0;0;1;0;0;0;0;06;36.0
107;uvod;1;1;0;0;0;1;0;0;0;0;12;144.0
108;uvod;1;1;0;0;0;1;0;0;0;0;08;64.0
109;uvod;1;1;0;0;0;1;0;0;0;0;08;64.0
110;organizacia-studia;1;1;0;0;0;1;0;0;0;0;08;64.0
111;14-univerzita;1;1;0;0;0;1;0;0;0;0;08;64.0
112;organizacia-studia;1;1;0;0;0;1;0;0;0;0;08;64.0
113;stipendia;1;1;0;0;0;1;0;0;0;0;08;64.0
114;helpdesk;1;1;0;0;0;1;0;0;0;0;10;100.0
115;uvod;1;1;0;0;0;1;0;0;0;0;10;100.0
116;helpdesk;1;1;0;0;0;1;0;0;0;0;10;100.0
117;uvod;1;1;0;0;0;1;0;0;0;0;10;100.0
118;verejnost;1;1;0;0;0;1;0;0;0;0;10;100.0
119;images;1;1;0;0;0;1;0;0;0;0;10;100.0
120;uvod;1;1;0;0;0;1;0;0;0;0;10;100.0
121;uvod;1;1;0;0;0;1;0;0;0;0;12;144.0
122;uvod;1;1;0;0;0;1;0;0;0;0;12;144.0
123;uvod;1;1;0;0;0;1;0;0;0;0;09;81.0
124;uvod;1;1;0;0;0;1;0;0;0;0;08;64.0
125;uvod;1;1;0;0;0;1;0;0;0;0;13;169.0
126;uvod;1;1;0;0;0;1;0;0;0;0;15;225.0
127;uvod;1;1;0;0;0;1;0;0;0;0;12;144.0
128;uvod;1;1;0;0;0;1;0;0;0;0;13;169.0
129;uvod;1;1;0;0;0;1;0;0;0;0;13;169.0
130;uvod;1;1;0;0;0;1;0;0;0;0;14;196.0
131;uvod;1;1;0;0;0;1;0;0;0;0;14;196.0
132;uvod;1;1;0;0;0;1;0;0;0;0;12;144.0
133;uvod;1;1;0;0;0;1;0;0;0;0;14;196.0
134;uvod;1;1;0;0;0;1;0;0;0;0;10;100.0
135;uvod;1;1;0;0;0;1;0;0;0;0;08;64.0
136;uvod;1;1;0;0;0;1;0;0;0;0;10;100.0
137;uvod;1;1;0;0;0;1;0;0;0;0;10;100.0
138;media;1;1;0;0;0;1;0;0;0;0;10;100.0
139;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
140;uvod;1;0;1;0;0;1;0;0;0;0;08;64.0
141;uvod;1;0;1;0;0;1;0;0;0;0;08;64.0
142;uvod;1;0;1;0;0;1;0;0;0;0;08;64.0
143;uvod;1;0;1;0;0;1;0;0;0;0;08;64.0
144;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
145;uvod;1;0;1;0;0;1;0;0;0;0;08;64.0
146;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
147;mojaukf HTTP;1;0;1;0;0;1;0;0;0;0;10;100.0
148;uvod;1;0;1;0;0;1;0;0;0;0;08;64.0
149;uvod;1;0;1;0;0;1;0;0;0;0;08;64.0
150;uvod;1;0;1;0;0;1;0;0;0;0;08;64.0
151;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
152;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
153;uvod;1;0;1;0;0;1;0;0;0;0;08;64.0
154;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
155;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
156;uvod;1;0;1;0;0;1;0;0;0;0;08;64.0
157;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
158;uvod;1;0;1;0;0;1;0;0;0;0;14;196.0
159;component;1;0;1;0;0;1;0;0;0;0;14;196.0
160;studium;1;0;1;0;0;1;0;0;0;0;14;196.0
161;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
162;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
163;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
164;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
165;uvod;1;0;1;0;0;1;0;0;0;0;09;81.0
166;eduroam;1;0;1;0;0;1;0;0;0;0;09;81.0
167;helpdesk;1;0;1;0;0;1;0;0;0;0;09;81.0
168;mojaukf HTTP;1;0;1;0;0;1;0;0;0;0;09;81.0
169;uvod;1;0;1;0;0;1;0;0;0;0;09;81.0
170;mojaukf HTTP;1;0;1;0;0;1;0;0;0;0;09;81.0
171;uvod;1;0;1;0;0;1;0;0;0;0;08;64.0
172;uvod;1;0;1;0;0;1;0;0;0;0;08;64.0
173;uvod;1;0;1;0;0;1;0;0;0;0;09;81.0
174;uvod;1;0;1;0;0;1;0;0;0;0;09;81.0
175;uvod;1;0;1;0;0;1;0;0;0;0;09;81.0
176;uvod;1;0;1;0;0;1;0;0;0;0;09;81.0
177;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
178;uvod;1;0;1;0;0;1;0;0;0;0;11;121.0
179;verejnost;1;0;1;0;0;1;0;0;0;0;11;121.0
180;verejnost;1;0;1;0;0;1;0;0;0;0;11;121.0
181;verejnost;1;0;1;0;0;1;0;0;0;0;11;121.0
182;verejnost;1;0;1;0;0;1;0;0;0;0;11;121.0
183;verejnost;1;0;1;0;0;1;0;0;0;0;11;121.0
184;verejnost;1;0;1;0;0;1;0;0;0;0;11;121.0
185;verejnost;1;0;1;0;0;1;0;0;0;0;11;121.0
186;verejnost;1;0;1;0;0;1;0;0;0;0;11;121.0
187;uvod;1;0;1;0;0;1;0;0;0;0;13;169.0
188;uvod;1;0;1;0;0;1;0;0;0;0;07;49.0
189;studium;1;0;1;0;0;1;0;0;0;0;07;49.0
190;fakulty-a-sucasti;1;0;1;0;0;1;0;0;0;0;07;49.0
191;uvod;1;0;1;0;0;1;0;0;0;0;08;64.0
192;studium;1;0;1;0;0;1;0;0;0;0;08;64.0
193;uvod;1;0;1;0;0;1;0;0;0;0;08;64.0
194;uvod;1;0;1;0;0;1;0;0;0;0;08;64.0
195;studium;1;0;1;0;0;1;0;0;0;0;08;64.0
196;univerzita;1;0;1;0;0;1;0;0;0;0;08;64.0
197;uvod;1;0;1;0;0;1;0;0;0;0;06;36.0
198;uvod;1;0;1;0;0;1;0;0;0;0;09;81.0
199;uvod;1;0;1;0;0;1;0;0;0;0;06;36.0
200;uvod;1;0;1;0;0;1;0;0;0;0;06;36.0
201;uvod;1;0;1;0;0;1;0;0;0;0;11;121.0
202;verejnost;1;0;1;0;0;1;0;0;0;0;11;121.0
203;verejnost;1;0;1;0;0;1;0;0;0;0;11;121.0
204;verejnost;1;0;1;0;0;1;0;0;0;0;11;121.0
205;verejnost;1;0;1;0;0;1;0;0;0;0;11;121.0
206;verejnost;1;0;1;0;0;1;0;0;0;0;11;121.0
207;verejnost;1;0;1;0;0;1;0;0;0;0;11;121.0
208;verejnost;1;0;1;0;0;1;0;0;0;0;11;121.0
209;verejnost;1;0;1;0;0;1;0;0;0;0;11;121.0
210;verejnost;1;0;1;0;0;1;0;0;0;0;11;121.0
211;verejnost;1;0;1;0;0;1;0;0;0;0;11;121.0
212;verejnost;1;0;1;0;0;1;0;0;0;0;11;121.0
213;verejnost;1;0;1;0;0;1;0;0;0;0;11;121.0
214;verejnost;1;0;1;0;0;1;0;0;0;0;11;121.0
215;verejnost;1;0;1;0;0;1;0;0;0;0;11;121.0
216;verejnost;1;0;1;0;0;1;0;0;0;0;11;121.0
217;verejnost;1;0;1;0;0;1;0;0;0;0;11;121.0
218;uvod;1;0;1;0;0;1;0;0;0;0;11;121.0
219;verejnost;1;0;1;0;0;1;0;0;0;0;11;121.0
220;uvod;1;0;1;0;0;1;0;0;0;0;11;121.0
221;verejnost;1;0;1;0;0;1;0;0;0;0;11;121.0
222;uvod;1;0;1;0;0;1;0;0;0;0;11;121.0
223;uvod;1;0;1;0;0;1;0;0;0;0;09;81.0
224;uvod;1;0;1;0;0;1;0;0;0;0;08;64.0
225;uvod;1;0;1;0;0;1;0;0;0;0;08;64.0
226;uvod;1;0;1;0;0;1;0;0;0;0;08;64.0
227;uvod;1;0;1;0;0;1;0;0;0;0;06;36.0
228;uvod;1;0;1;0;0;1;0;0;0;0;07;49.0
229;uvod;1;0;1;0;0;1;0;0;0;0;06;36.0
230;uvod;1;0;1;0;0;1;0;0;0;0;12;144.0
231;uvod;1;0;1;0;0;1;0;0;0;0;15;225.0
232;uvod;1;0;1;0;0;1;0;0;0;0;15;225.0
233;uvod;1;0;1;0;0;1;0;0;0;0;06;36.0
234;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
235;uvod;1;0;1;0;0;1;0;0;0;0;08;64.0
236;uvod;1;0;1;0;0;1;0;0;0;0;09;81.0
237;uvod;1;0;1;0;0;1;0;0;0;0;13;169.0
238;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
239;studium;1;0;1;0;0;1;0;0;0;0;10;100.0
240;univerzita;1;0;1;0;0;1;0;0;0;0;08;64.0
241;uvod;1;0;1;0;0;1;0;0;0;0;09;81.0
242;helpdesk;1;0;1;0;0;1;0;0;0;0;10;100.0
243;helpdesk;1;0;1;0;0;1;0;0;0;0;10;100.0
244;uvod;1;0;1;0;0;1;0;0;0;0;06;36.0
245;uvod;1;0;1;0;0;1;0;0;0;0;07;49.0
246;verejnost;1;0;1;0;0;1;0;0;0;0;07;49.0
247;uvod;1;0;1;0;0;1;0;0;0;0;07;49.0
248;uvod;1;0;1;0;0;1;0;0;0;0;09;81.0
249;uvod;1;0;1;0;0;1;0;0;0;0;06;36.0
250;univerzita;1;0;1;0;0;1;0;0;0;0;06;36.0
251;uvod;1;0;1;0;0;1;0;0;0;0;07;49.0
252;univerzita;1;0;1;0;0;1;0;0;0;0;07;49.0
253;uvod;1;0;1;0;0;1;0;0;0;0;09;81.0
254;uvod;1;0;1;0;0;1;0;0;0;0;09;81.0
255;verejnost;1;0;1;0;0;1;0;0;0;0;14;196.0
256;images;1;0;1;0;0;1;0;0;0;0;14;196.0
257;uvod;1;0;1;0;0;1;0;0;0;0;08;64.0
258;uvod;1;0;1;0;0;1;0;0;0;0;09;81.0
259;uvod;1;0;1;0;0;1;0;0;0;0;09;81.0
260;uvod;1;0;1;0;0;1;0;0;0;0;10;100.0
261;fakulty-a-sucasti;1;0;1;0;0;1;0;0;0;0;10;100.0
262;uvod;1;0;1;0;0;1;0;0;0;0;07;49.0
263;images;1;0;1;0;0;1;0;0;0;0;13;169.0
264;verejnost;1;0;1;0;0;1;0;0;0;0;13;169.0
265;verejnost;1;0;1;0;0;1;0;0;0;0;13;169.0
266;verejnost;1;0;1;0;0;1;0;0;0;0;13;169.0
267;verejnost;1;0;1;0;0;1;0;0;0;0;13;169.0
268;verejnost;1;0;1;0;0;1;0;0;0;0;13;169.0
